Exportado em: 27/06/2018;;;;;;;;;Transparência Fly;
Camboriú - SC;;;;;;;;;;
Todas as entidades do município;;;;;;;;;;
Consulta de compras diretas;;;;;Última atualização: 27/06/2018 22:25:08;;;;;
Filtros utilizados para elaboração da consulta: Entidade: Todas | Ano: 2018 | Mês: Junho | Centro de custos: Todos | Tipo de compra: Todos;;;;;;;;;;
Compra;Data da compra;Objeto;Centro de custos;Fornecedor;;Valor (R$);Justificativa;Tipo de compra;;Anulação / Data
59 - 2018;17/05/2018;SERVIÇO DE TREINAMENTO E QUALIFICAÇÃO PARA OS FUNCIONÁRIOS DO SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA (SAMU), VISANDO ATENDER AO PROTOCOLO DO SAMU DO ESTADO DE SANTA CATARINA, QUE PARTE DO RECONHECIMENTO QIE INTITUIÇÕES FORMADORAS DE PROFISSIONAIS DA SAÚDE NÃO TEM GARANTIDO O DESENVOLVIMENTO DE COMPETÊNCIAS E HABILIDADES NECESSÁRIAS AO ENFRENTAMENTO DAS URGÊNCIAS E EMERGÊNCIAS. A PRESENTE REQUISIÇÃO POSSUI APENAS UM ORÇAMENTO VISTO QUE A EMPRESA É A ÚNICA QUE PROMOVE TAIS TREINAMENTOS NA REGIÃO.;FUNDO MUNICIPAL DE SAÚDE;GISELE DE LIZ NUNES;;4.200,00;;Compra Comum;;
58 - 2018;07/06/2018;REGISTRA E VALOR DAS DESPESAS COM MAPAS PARA O USO NOS ENCONTROS DE PROGRAMA TATU NA EDUCAÇÃO AMBIENTAL, REALIZADA PELO DEPARTAMENTO DE EDUCAÇÃO AMBIENTAL DA FUCAM.;Fundação Municipal do Meio Ambiente;IDALÉCIO EDUARDO ME;;110,00;;Compra Comum;;
58 - 2018;19/02/2018;AQUISIÇÃO DE PEÇAS PARA REVISÃO DO VEÍCULO VIATURA ABTR-67, CAMINHÃO MERCEDES BENZ ATEGO 1726, PLACAS MMI 8124 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. REVISÃO OBRIGATÓRIA DE 20.000KM, A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII DO ARTIGO 24 DA LEI 8666/93.;SECRETARIA DE ADMINISTRAÇÃO;DVA VEICULOS S. A.;;721,65;;Compra Comum;;
58 - 2018;14/05/2018;AQUISIÇÃO DE PLACAS DESTINADAS AO HOSPITAL CIRÚRGICO CAMBORIU. NA FORMA DE COMPRA DIRETA AMPADARA PELA LEI 8666/93 NO SEU ARTIGO 24 II, DESTA FORMA, CONFIGURADA A NECESSIDADE E POSSIBILIDADE DE CONTRAÇÃO.;FUNDO MUNICIPAL DE SAÚDE;SILVA & ENGELS IMPRESSOES LTDA - ME;;2.250,00;;Compra Comum;;
57 - 2018;06/06/2018;MATERIAL DE CONSUMO PARA ALIMENTAÇÃO DE ARTICULADORES E DIRETOES DAS ESCOLAS MUNICIPAIS DE CAMBORIU NA AÇÃO DE CONSCIENTIZAÇÃO DE COLETA SELETIVA QUE SERÁ REALIZADA PELO DEPARTAMENTO DE EDUCAÇÃO AMBIENTAL DA FUNDAÇÃO DO MEIO AMBIENTE DE CAMBORIU.;Fundação Municipal do Meio Ambiente;FAZENDA VELHA BRASILEIRA COMERCIO DE GENEROS ALIME;;159,84;;Compra Comum;;
57 - 2018;19/02/2018;CONFECÇÃO DE ETIQUETAS ADESIVAS PARA CONTROLE DO PATROMÔNIO DO CORPO DE BOMBEIROS MILITAR DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;ACN LOCADORA NÁUTICA LTDA;;600,00;;Compra Comum;;
57 - 2018;14/05/2018;AQUISIÇÃO DE PEÇAS PARA REVISÃO DOS VEÍCULOS RENAULT SANDERO PLACAS QII 9639 E QII 9769, PERTENCENTE A FROTA DA SECRETARIA DE SAÚDE, ONDE O MESMO ENCONTRA-SE NA GARANTIA. PARA TAL NECESSITAMOS DESTA AQUISIÇÃO NA FORMA DE COMPRA DIRETA AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24II, DESTA FORMA CONFIGURADA A NECESSIDADE E POSSIBILIDADE DE CONTRAÇÃO. CABE RESSALTAR QUE A MANUTENÇÃO DESTE VEÍCULO SE TORNA ESSENCIAL, VISTO DE QUE TAL TROCA NÃO SEJA REALIZADA NA AUTORIZADA O VEÍCULO SOFRE PERDA DE GARANTIA.;FUNDO MUNICIPAL DE SAÚDE;LIBERTE VEÍCULOS LTDA;;338,00;;Compra Comum;;
56 - 2018;22/05/2018;AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO NO PARQUE DA BICA.;Fundação Municipal do Meio Ambiente;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;;51,56;;Compra Comum;;
56 - 2018;19/02/2018;SERVIÇO DE REVISÃO DA VIATURA AAT 299, WOLKSVAGEM FOX PLACAS MLY 1693, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. MANUTENÇÃO OBRIGATORIA DE 30.000KM A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONARIA CONFORME O INCISO  XVII ARTIGO 24 DA LEI 8666.93;SECRETARIA DE ADMINISTRAÇÃO;CAMVEL - CAMBORIÚ COMÉRCIO DE VEÍCULOS LTDA;;590,00;;Compra Comum;;
56 - 2018;14/05/2018;AQUISIÇÃO DE ÓLEOS E LUBRIFICANTES PARA REVISÃO DOS VEÍCULOS RENAULT SANDERO PLACAS QII 9639 E QII 9769, PERTENCENTE A FROTA DA SECRETARIA DE SAÚDE, ONDE O MESMO ENCONTRA-SE NA GARANTIA. PARA TAL NECESSITAMOS DESTA AQUISIÇÃO NA FORMA DE COMPRA DIRETA AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24II, DESTA FORMA CONFIGURADA A NECESSIDADE E POSSIBILIDADE DE CONTRAÇÃO. CABE RESSALTAR QUE A MANUTENÇÃO DESTE VEÍCULO SE TORNA ESSENCIAL, VISTO DE QUE TAL TROCA NÃO SEJA REALIZADA NA AUTORIZADA O VEÍCULO SOFRE PERDA DE GARANTIA.;FUNDO MUNICIPAL DE SAÚDE;LIBERTE VEÍCULOS LTDA;;197,20;;Compra Comum;;
55 - 2018;14/05/2018;REGISTRA O VALOR DAS DESPESAS COM MATERIAIS DE CONSUMO PARA APLICAÇÃO, MANUTENÇÃO E REPOSIÇÃO DE QUALQUER BEM PÚBLICO, TAIS COMO, CANO, TORNEIRA, TUBO DE CONCRETO, VÁLVULAS, VERNIZ, CIDRO, LIXAS E AFINS. OS MATERIAIS SERÃO UTILIZADOS NA MANUTENÇÃO DO PARQUE DA BICA.;Fundação Municipal do Meio Ambiente;NELSON PEREIRA SATURNINO - ME - COMERCIAL PEREIRA;;149,20;;Compra Comum;;
55 - 2018;19/02/2018;AQUISIÇÃO DE PEÇAS PARA A REVISÃO DA VIATURA AAT-299, WOLKSWAGEM FOX PLACAS MLY 1693 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. TROCA DE FILTRO DE ÓLEO SUBSTITUIÇÃO OBRIGATORIA DE 30.000KM A FOM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;CAMVEL - CAMBORIÚ COMÉRCIO DE VEÍCULOS LTDA;;320,55;;Compra Comum;;
55 - 2018;14/05/2018;MÃO DE OBRA PARA SERVIÇO DE REVISÃO DOS VEÍCULOS RENAULT SANDERO PLACAS QII 9639 E QII 9769, PERTENCENTE A FROTA DA SECRETARIA DE SAÚDE, ONDE O MESMO ENCONTRA-SE NA GARANTIA. PARA TAL NECESSITAMOS DESTA AQUISIÇÃO NA FORMA DE COMPRA DIRETA AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24II, DESTA FORMA CONFIGURADA A NECESSIDADE E POSSIBILIDADE DE CONTRAÇÃO. CABE RESSALTAR QUE A MANUTENÇÃO DESTE VEÍCULO SE TORNA ESSENCIAL, VISTO DE QUE TAL TROCA NÃO SEJA REALIZADA NA AUTORIZADA O VEÍCULO SOFRE PERDA DE GARANTIA.;FUNDO MUNICIPAL DE SAÚDE;LIBERTE VEÍCULOS LTDA;;165,60;;Compra Comum;;
54 - 2018;14/05/2018;MATERIAIS PARA UTILIZAÇÃO NAS ESCOLAS MUNICIPAIS DE CAMBORIU PARA PRODUÇÃO DE SABÃO PELO DEPARTAMENTO DE EDUCAÇÃO AMBIENTAL DA FUNDAÇÃO DO MEIO AMBIENTE DE CAMBORIU - FUCAM.;Fundação Municipal do Meio Ambiente;NELSON PEREIRA SATURNINO - ME - COMERCIAL PEREIRA;;87,40;;Compra Comum;;
54 - 2018;19/02/2018;AQUISIÇÃO DE ÓLEO LUBRIFICANTES E GRAXAS PARA A REVISÃO DA VIATURA AAT-299, WOLKSWAGEM FOX PLACAS MLY 1693 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. TROCA DE FILTRO DE ÓLEO SUBSTITUIÇÃO OBRIGATORIA DE 30.000KM A FOM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;CAMVEL - CAMBORIÚ COMÉRCIO DE VEÍCULOS LTDA;;193,12;;Compra Comum;;
54 - 2018;14/05/2018;AQUISIÇÃO DE 70 LENÇÓIS E 30 MANTAS, DESTINADOS AOS PACIENTES DO HOSPITAL CIRURGICO CAMBORIU - EDWIGES BERNARDES, VISTO QUE COM A CHEGADA DO OUTONO E INVERNO E CONSEQUENTE QUEDA DE TEMPERATURA, A DEMANDA DE TAIS ITENS ACABA SENDO ALTA NECESSIDADE. ALÉM DISSO O AUMENTO DO NÚMERO DE CIRURGIAS NO HCC REQUER MAIOR QUANTIDADE  DE LENÇÓIS.;FUNDO MUNICIPAL DE SAÚDE;FRANCISCO XAVIER ROCHA - ME;;3.196,80;;Compra Comum;;
53 - 2018;14/05/2018;MATERIAIS PARA UTILIZAÇÃO NAS ESCOLAS MUNICIPAIS DE CAMBORIU PARA PRODUÇÃO DE SABÃO PELO DEPARTAMENTO DE EDUCAÇÃO AMBIENTAL DA FUNDAÇÃO DE MEIO AMBIENTE DE CAMBORIU - FUCAM.;Fundação Municipal do Meio Ambiente;NELSON PEREIRA SATURNINO - ME - COMERCIAL PEREIRA;;430,10;;Compra Comum;;
53 - 2018;19/02/2018;AQUISIÇÃO DE LUBRIFICANTES PARA REVISÃO A SER REALIZADA NA VIATURA ASU-411, AMBULÂNCIA MERCEDES BENZ SPRINTER PLACAS QHQ 3884 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. REVISÃO OBRIGATÓRIA DE 30.000 KM, A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XCII DO ART. 24 DA LEI 8666/93.;SECRETARIA DE ADMINISTRAÇÃO;DVA VEICULOS S. A.;;474,00;;Compra Comum;;
53 - 2018;25/06/2018;AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS PARA SEREM UTILIZADOS NO CEI TÂNIA REGINA, SE FAZ NECESSÁRIO PARA O PREPARO DOS ALIMENTOS DOS ALUNOS MATRICULADOS NESTA UNIDADE.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;CORCRIL COMERCIO DE REFRIGERACAO CRICIUMA LTDA;;575,72;;Compra Comum;;
53 - 2018;07/05/2018;COMPRA DIRETA DESTINADA A AQUISIÇÃO DE LEITES PARA ATENDER A DECISÕES JUDICIAIS, ACIMA CITADAS. CONSIDERANDO AS DECISÕES JUDICIAIS RELACIONADAS, EM DESFAVOR DESTE MUNICÍPIO, FICANDO ESTE OBRIGADO A FORNECER MEDICAMENTOS NÃO PADRONIZADOS AOS PACIENTES SUPRACITADOS, NECESSÁRIO DE SE FAZ A REALIZAÇÃO DE COMPORA DIRETA PARA ATENDER DE IMEDIATO DA DECISÃO.;FUNDO MUNICIPAL DE SAÚDE;EFICAZ FARMACIA LTDA - ME;;4.025,97;;Compra Comum;;
52 - 2018;14/05/2018;REGISTRA O VALOR DAS DESPESAS COM TODOS OS TIPOS DE FERRAMENTAS UTILIZADAS EM OFICINAS, CARPINTARIAS E JARDINS, PARA UTILIZAÇÃO NA EDUCAÇÃO AMBIENTAL, NO PLANTIO DE MUDAS EM GERAL;Fundação Municipal do Meio Ambiente;NELSON PEREIRA SATURNINO - ME - COMERCIAL PEREIRA;;76,30;;Compra Comum;;
52 - 2018;19/02/2018;PRESTAÇÃO DE SERVIÇO (MÃOD DE OBRA)  NA MANUTENÇÃO DA VIATURA ASU-411, AMBULÂNCIA MERCEDES BENZ SPRINTER PLACAS QHQ 3884 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. REVISÃO OBRIGATÓRIA DE 30.000 KM, A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XCII DO ART. 24 DA LEI 8666/93.;SECRETARIA DE ADMINISTRAÇÃO;DVA VEICULOS S. A.;;160,00;;Compra Comum;;
52 - 2018;25/06/2018;AQUISIÇÃO DE ADESIVO IMPRESSO 1,58X3,90 PARA SER APLICADO NAS PAREDES DA ESCADA DESTA SECRETARIA.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;SILVA & ENGELS IMPRESSOES LTDA - ME;;495,00;;Compra Comum;;
52 - 2018;25/04/2018;DIÁRIAS EM HOTEL DOS SERVIDORES JOSE LUIZ GARCIA, SABRINA DOS SANTOS E MARGARETH CADORE, NO 68º CONGRESSO DE SECRETARIAS MUNICIPAIS DE SAÚDE DE SANTA CATARINA - COSEMS/SC, QUE OCORREÁ NOS DIAS 02, 03 E 04 DE MAIO VISANDO A ATUALIZAÇÃO DOS SERVIDORES NO DESEMPENHO DE SUAS FUNÇÕES NO FUNDO MUNICIPAL DE SAÚDE.;FUNDO MUNICIPAL DE SAÚDE;ESTON HOTEL LTDA;;873,60;;Compra Comum;;
51 - 2018;14/05/2018;REGISTRA O VALOR DAS DESPESAS COM ESTAMPAS DO BRASÃO DA PREFEITURA MUNICIPAL DE CAMBORIU E NOME DA FUCAM - FUNDAÇÃO DO MEIO AMBIENTE DE CAMBORIU NAS SACOLAS DO PROGRAMA TATU AOS AGENTES AMBIENTAIS DO DEPARTAMENTO DE EDUCAÇÃO AMBIENTAL DA FUNDAÇÃO DO MEIO AMBIENTE DE CAMBORIU - FUCAM.;Fundação Municipal do Meio Ambiente;DJ SOFT LTDA - ME;;360,00;;Compra Comum;;
51 - 2018;19/02/2018;AQUISIÇÃO DE PEÇAS PARA REVISÃO A SER REALIZADA NA VIATURA ASU-411, AMBULÂNCIA MERCEDES BENZ SPRINTER PLACAS QHQ 3884 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. REVISÃO OBRIGATÓRIA DE 30.000 KM, A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XCII DO ART. 24 DA LEI 8666/93.;SECRETARIA DE ADMINISTRAÇÃO;DVA VEICULOS S. A.;;724,86;;Compra Comum;;
51 - 2018;14/06/2018;PRESTAÇÃO DE SERVIÇO REFERENTE DIÁRIAS DE HOTEL PARA A SERVIDORA QUE APRESENTARÁ PROJETO PARA CAPTAÇÃO DE RECURSOS DE 19/06 A 22/06/2018 PARA A SERVIDORA MARCELA VIDAL ELEOTÉRIO. OS PROJETOS SEÃO APRESENTADOS NA CIDADE DE BRASILIA DF.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;CARLOS BLAESE NETO;;375,00;;Compra Comum;;
51 - 2018;25/04/2018;INSCRIÇÃO DOS SERVIDORES: JOSÉ LUIZ GARCIA, SABRINA DOS SANTOS E MARGARETH CADORE, Nº68 CONGRESSO DE SECRETARIAS MUNICIPAIS DE SAÚDE DE SANTA CATARINA - COSEMS/SC, QUE OCORRERÁ NOS DIAS 02,03 E 04 DE MAIO VISANDO A ATUALIZAÇÃO DOS SERVIDORES NO DESEMPENHO DE SUAS FUNÇÕES NO FUNDO MUNICIPAL DE SAÚDE.;FUNDO MUNICIPAL DE SAÚDE;CONSELHO DE SECRETARIOS MUNICIPAIS DE SAÚDE;;360,00;;Compra Comum;;
50 - 2018;03/05/2018;REGISTRA O VALOR DAS DESPESAS COM MATERIAIS DE CONSUMO UTILIZADOS DIRETAMENTO NA PROTEÇÃO DE PESSOAS OU BENS PÚBLICOS, SENDO ESTE PARA AQUISIÇÃO DE CADEADOS PARA O PARQUE DA BICA.;Fundação Municipal do Meio Ambiente;NELSON PEREIRA SATURNINO - ME - COMERCIAL PEREIRA;;128,55;;Compra Comum;;
50 - 2018;19/02/2018;AQUISIÇÃO DE CARIMBOS PARA O CITRAN DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;AIRTON PADILHA PEREIRA ME;;681,50;;Compra Comum;;
50 - 2018;14/06/2018;AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS PARA SEREM UTILIZADOS NO CEI TANIA REGINA SE FAZ NECESSÁRIO PARA O PREPARO DOS ALIMENTOS DOS ALUNOS MATRICULADOS NESTA UNIDADE.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;ANDERSON TEIXEIRA MUNHOZ;;119,07;;Compra Comum;;
50 - 2018;22/04/2018;AQUISIÇÃO DE PEÇAS DESTINADAS A MANUTENÇÃO DA AMBULÂNCIA RENAULT MASTER PLACA QHC 5407, DA SECRETARIA DE SAÚDE DESTE MUNICÍPIO QUE REALIZA O TRANSPORTE DE URGÊNCIA E EMERGÊNCIA NA FORMA DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;ACN COMERCIO DE PRODUTOS DE TRANSITO LTDA - EPP;;85,00;;Compra Comum;;
49 - 2018;03/05/2018;AQUISIÇÃO DE PLAQUINHAS PARA SINALIZAÇÃO DE HORTAS E ÁRVORES NOS CEIS E ESCOLAS, REALIZADOS PELO DEPARTAMENTO DE EDUCAÇÃO AMBIENTAL.;Fundação Municipal do Meio Ambiente;LARISSA DALMOLIN CHAVES - ME;;2.325,00;;Compra Comum;;
49 - 2018;19/02/2018;AQUISIÇÃO DE LUBRIFICANTES PARA VIATURA AR-108, FORD RANGER PLACAS AHM 4624 PERTENCENTE AO PELOTÃO DE BOMBEIROS DE CAMBORIU. TROCA DE FILTRO DE AR, SUBSTITUIÇÃO OBRIGATÓRIA DE 30.000KM, AFIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA, CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93.;SECRETARIA DE ADMINISTRAÇÃO;DIMAS COMERCIO DE AUTOMOVEIS LTDA;;381,98;;Compra Comum;;
49 - 2018;14/06/2018;LOCAÇÃO DE MÁQUINAS PARA MANUTENÇÃO DE PÁTIOS DAS UNIDADES ESCOLARES DA REDE MUNICIPAL DE ENSINO (DRENAGEM PLUVIAL E PAVIMENTAÇÃO DOS PÁTIOS);SECRETARIA MUNICIPAL DE EDUCAÇÃO;HERMES E HERMES TERRAPLANAGEM LTDA ME;;7.650,00;;Compra Comum;;
49 - 2018;19/04/2018;SERVIÇO DE MÃO DE OBRA ESPECIALIZADA EM MANUTENÇÃO E INSTALAÇÃO DE PEÇAS, DESTINADAS A AMBULÂNCIA RENAULT MASTER PLACA QHC 5407 DA SECRETARIA DE SAÚDE DESTE MUNICÍPIO, QUE REALIZA O TRANSPORTE DE URGÊNCIA E EMERGÊNCIA NA FORMA DE COMPRA DIRETA AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24 II.;FUNDO MUNICIPAL DE SAÚDE;ACN COMERCIO DE PRODUTOS DE TRANSITO LTDA - EPP;;340,00;;Compra Comum;;
48 - 2018;26/04/2018;REQUISITA-SE MÃO DE OBRA DE REFORMA DE LAGO EXISTENTE, INCLUINDO ARMAÇÃO E CONCRETAGEM, SENDO APROXIMADAMENTE 210,65 M2 PARA SOLUÇÃO ALTERNATIVA COLETIVA (SAC) DE ABASTECIMENTO DE ÁGUA NO PARQUE DA BICA.;Fundação Municipal do Meio Ambiente;DEYVID INACIO MACHADO 07188710902;;7.500,00;;Compra Comum;;
48 - 2018;19/02/2018;AQUISIÇÃO DE ÓLEO E LUBRIFICANTES PARA REVISÃO DO VEÍCULO VIATURA ABTR-67, CAMINHÃO MERCEDES BENZ, ATEGO 1726 PLACAS MMI8124, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. REVISÃO OBRIGATÓRIA DE 20.000KM AFIM DE ASSEGURAR A GARANTIA PELA CONCESSIONÁRIA CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93.;SECRETARIA DE ADMINISTRAÇÃO;DVA VEICULOS S. A.;;346,55;;Compra Comum;;
48 - 2018;14/06/2018;AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS PARA SEREM UTILIZADOS NO CEI TÂNIA REGINA, SE FAZ NECESSÁRIO PARA O PREPARO DOS ALIMENTOS DOS ALUNOS MATRICULADOS NESTA UNIDADE.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;NELSON PEREIRA SATURNINO ME - COMERCIAL PEREIRA;;522,90;;Compra Comum;;
48 - 2018;19/04/2018;AQUISIÇÃO DE CAMISETAS PARA OS FUNCIONÁRIOS QUE IRÃO TRABALHAR NA CAMPANHA DE VACINAÇÃO QUE OCORRERÁ DURANTE OS FINAIS DE SEMANA DO MÊS DE MAIO. EVENTO ESTE ORGANIZADO PELA SECRETARIA DE SAÚDE DESTE MUNICÍPIO.;FUNDO MUNICIPAL DE SAÚDE;FRANCISCO XAVIER ROCHA - ME;;4.350,00;;Compra Comum;;
47 - 2018;19/04/2018;AQUISIÇÃO DE CAMISETAS PARA COMPOSIÇÃO FALTANTE DOS UNIFORMES PARA O PROGRAMA TATU, REALIZADO PELO DEPARTAMENTO DE EDUCAÇÃO AMBIENTAL.;Fundação Municipal do Meio Ambiente;DJ SOFT LTDA - ME;;680,00;;Compra Comum;;
47 - 2018;19/02/2018;AQUISIÇÃO DE MATERIAIS PARA VIATURA AR-108, FORD RANGER PLACAS QHM 4624 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. MANUTENÇÃO OBRIGATÓRIA DE 30.000KM AFIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA. CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;DIMAS COMERCIO DE AUTOMOVEIS LTDA;;620,40;;Compra Comum;;
47 - 2018;07/06/2018;AQUISIÇÃO DE PLACAS DE INAUGURAÇÃO PARA NOVA ALA DA ESCOLA ARTHUR SICHMANN.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;TECNOPLACAS COMERCIO DE PLACAS LTDA;;785,00;;Compra Comum;;
47 - 2018;19/04/2018;AQUISIÇÃO DE DISCO ESPECIFICO PARA ENCERADEIRA, DESTINADOS A LIMPEZA DO HOSPITAL CIRURGICO CAMBORIU EDWIGES BERNARDES.;FUNDO MUNICIPAL DE SAÚDE;SAFE CLEAN PRODUTOS DE LIMPEZA LTDA - ME;;90,00;;Compra Comum;;
46 - 2018;18/04/2018;MÃO DE OBRA DE MONTAGEM HIDRÁULICA E ELÉTRICA NA BOMBA E PAINEL DE COMANDO PARA O PARQUE DA BICA A SER REALIZADO PELA FUNDAÇÃO DE MEIO AMBIENTE DE CAMBORIU - FUCAM.;Fundação Municipal do Meio Ambiente;FLUIR COMERCIO, MANUTENCAO E SERVICOS LTDA;;450,00;;Compra Comum;;
46 - 2018;19/02/2018;SERVIÇO DE MÃO DE OBRA DA VIATURA AR-108, FORD RANGER PLACAS QHM 4624 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. MANUTENÇÃO OBRIGATÓRIA DE 30.000KM AFIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA. CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;DIMAS COMERCIO DE AUTOMOVEIS LTDA;;400,00;;Compra Comum;;
46 - 2018;06/06/2018;SERVIÇO DE IMPRESSÃO DE PROJETOS UTILIZADO PELO SETOR DE ENGENHARIA PARA SEREM UTILIZADOS NA MANUTENÇÃO E CONSTRUÇÃO DAS UNIDADES ESCOLARES DO MUNICÍPIO.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;LARISSA DALMOLIN CHAVES - ME;;1.200,00;;Compra Comum;;
46 - 2018;12/04/2018;AQUISIÇÃO DE MATERIAIS, DESTINADOS AS CIRURGIAS DO HOSPITAL CIRURGICO CAMBORIÚ, IMPRESCINDIVEL PARA CIRURGIAS, SENDO DE NECESSIDADE E URGÊNCIA PARA ATENDIMENTO A POPULAÇÃO.;FUNDO MUNICIPAL DE SAÚDE;ARENA SUPRIMENTOS MEDICOS COMERCIAL IMPORTADORA E;;3.480,00;;Compra Comum;;
45 - 2018;15/06/2018;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA SEREM UTILIZADOS NO CENTRO DE APOIO A FAMÍLIA ADÃO DA ROSA ONDE É DESENVOLVIDO O SERVIÇO E FORTALECIMENTO DE VÍNCULOS - SCFV, PARA AS CRIANÇAS E ADOLESCENTES, UNIDADE COORDENADA PELA SECRETARIA DE DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;JOSIANE SILVA DA ROSA BORGES 04181133940;;498,62;;Compra Comum;;
45 - 2018;18/04/2018;REQUISITA-SE MATERIAIS ELÉTRICOS PARA INSTALAÇÃO ELÉTRICA DO SAC DE ABASTECIMENTO DE ÁGUA DO PARQUE DA BICA.;Fundação Municipal do Meio Ambiente;VINICIO TONEZER;;466,79;;Compra Comum;;
45 - 2018;15/02/2018;PRESTALÇÃO DE SERVIÇOS DE CONFECÇÃO DE PASTAS PARA USO DE IDENTIFICAÇÃO DE DOCUMENTOS DA CASA DA CIDADÂNIA DO MUNICÍPIO DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;IMPRESSORA CATARINENSE LTDA - ME;;320,00;;Compra Comum;;
45 - 2018;06/06/2018;AQUISIÇÃO DE CORTINAS PARA AMBIENTALIZAR AS NOVAS SALAS DA E. B. M PROFESSOR ARTUR SICHMANN.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;THAIZE TRINDADE ECKEL;;6.067,50;;Compra Comum;;
45 - 2018;10/04/2018;AQUISIÇÃO DE FURADEIRA E PARAFUSADEIRA DESTINADOS A MANUTENÇÃO DO HOSPITAL CIRÚRGICO DE CAMBORIU - EDWIGES BERNARDES VISTO DA PRECARIEDADE DAS INSTALAÇÕES, AONDE OE MESMOS OPERAM FAZ SE NECESSÁRIA TAL MANUTENÇÃO CONSTANTE E DESSA FORMA, UTILIZAM-SE OS FUNIONÁRIOS DE TAIS FERRAMENTAS.;FUNDO MUNICIPAL DE SAÚDE;CASAS D ÁGUA COM MAT CONSTRUCAO LTDA;;846,00;;Compra Comum;;
44 - 2018;15/06/2018;PRESTAÇÃO DE SERVIÇO DESLOCAMENTO TECNICO, MUDANÇA DE RAMAIS TELEFÔNICOS E PROGRAMAÇÃO TELEFÔNICA, NECESSÁRIO PARA ATENDER AS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL E SEUS DEPARTAMENTOS.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;PEREIRA TELECOMUNICACOES - CESAR PEREIRA;;495,00;;Compra Comum;;
